207, -71, 71, -1, -1, -1
188, -80, 53, -3, -1, 0
194, -18, 49, -1, -1, -1
249, -17, 136, -2, 0, -1
181, -103, 15, -2, 2, 1
23, 17, -11, -5, 6, 3
266, 570, 373, -25, 1, -4
159, -32, 208, -1, 0, -1
212, -11, 79, -7, -1, -2
2533, -1201, 1894, 1, 103, 80
1802, -657, -2576, 62, 54, 135
1642, 184, -1821, -68, -14, 8
-1740, 208, -236, -6, -11, 10
2176, -235, 3579, 67, 48, 20
723, -1945, -2818, 70, -45, -16
-1086, -2376, -2336, -58, -37, -10
-1513, -491, 7618, -81, 11, 46
2206, -1269, -2844, 22, -3, -12
-521, -1355, 4339, -12, -22, -60
-869, -3647, -64, 71, 47, -10
1282, -1791, -2242, -24, 55, 43
2703, 635, 842, -115, -63, -12
-3306, -1557, 848, 43, 2, -17
-1190, -223, 173, -23, 24, 10
1957, -3, 2973, 98, 33, 38
900, -2578, -1866, 52, -45, -16
-1309, -1497, -1286, -66, -38, -4
-1262, 785, 5459, -100, 15, 34
778, -105, -849, -13, -2, -10
944, 800, 2582, -30, -16, -59
-2268, -3196, -449, 144, 52, 7
1238, -2389, -2743, -33, 53, 34
2109, -389, 291, -85, -21, -1
-827, 42, 5954, -81, -34, -53
-1132, -251, -1718, -18, 4, 6
3820, 248, 4065, 158, 34, 40
1060, -2923, -1160, 88, -16, -31
-1573, -1496, -1486, -57, -65, -9
-2137, -1610, -217, -77, 21, 11
3399, 1355, 1486, 40, 13, 47
1501, -232, -1528, -39, -5, -35
-2103, -2498, 3482, 101, 15, -16
605, -2870, -935, 34, 75, 24
3014, -1733, -1052, -75, 20, 26
2081, 1554, 1468, -101, -47, -51
-3579, -1254, -421, 75, 3, -4
-1364, 62, 484, -46, -36, 44
2911, -2056, 2571, 111, 40, 18
-77, -2341, -1882, 32, -73, -6
-1719, -675, -1098, -96, -23, -16
-2761, -1037, 4487, -111, -11, 35
2747, -332, -1904, -15, 0, -21
-1668, -2385, 4047, 66, 13, -51
-1318, -3140, -1147, 31, 71, -9
1779, -2494, -1239, -70, 19, 45
3032, -691, 221, -89, -59, -16
-3237, -3821, 3594, 50, 15, -21
-2012, -731, -1303, -67, -9, 14
3531, -775, 3293, 129, 58, 16
1489, -4062, -2028, 84, -64, -7
-1457, -1311, -1463, -98, -46, -4
2049, -550, 6191, -22, 16, 54
2551, 227, -1971, -12, 6, 0
-565, -874, 5422, 46, -25, -34
-421, -3694, -1667, 96, 91, -11
1663, -1816, 775, -64, 40, 28
3186, 64, -764, -120, -61, -29
-2912, -839, 1805, 28, -9, -40
-2539, -1108, 3199, -15, 19, 46
3010, -2825, -279, 118, -15, 15
-400, -2444, -2556, 2, -53, -34
-1847, -657, -770, -127, -31, -22
4014, -1711, 6470, 27, 23, 87
2377, -187, -1322, -47, -7, -45
-2852, -5084, 3186, 170, 49, -19
-46, -2255, -2886, -15, 66, 26
3034, 127, -1254, -106, 2, 9
2627, -1120, 4120, -91, -67, -73
-2045, 60, -2334, 24, 11, -1
3220, -676, 5970, 117, 27, 79
1226, -3866, -949, 98, -26, -25
-1153, -1433, -1462, -57, -66, -18
-3235, -1483, 956, -140, 5, -1
2643, 424, -1389, 32, 13, 27
1533, -604, 5233, -16, 5, -78
-1523, -4247, -1657, 150, 77, 16
2003, -2113, -1229, -80, 43, 11
2569, 240, -442, -133, -95, -15
-3028, -2830, 4142, 8, 6, -34
-2111, -1370, 1863, -28, -15, 35
3860, -3204, 2024, 158, 26, 11
590, -3197, -1924, 12, -56, -41
-1762, -2139, -2109, -173, -60, -48
2555, -10, 5899, 14, 3, 65
2797, 960, -764, -39, -13, -47
-2538, -3889, 2348, 153, 45, -12
219, -3005, -2197, -7, 61, 24
2546, -770, -1402, -106, -4, 7
1741, 802, 4751, -46, -53, -52
-2403, -527, -2698, 15, 7, -11
921, -1265, 6363, 40, 23, 63
2247, -4118, 478, 125, 10, 7
