203, -146, 100, -3, -1, 2
173, 19, 115, -1, 1, -1
151, 7, 64, -2, -1, 2
333, -436, 615, 80, -15, 9
529, 188, -208, -44, 8, 8
156, 70, 149, -14, 3, -12
109, -114, 102, -3, -3, -2
135, -103, 86, 1, -2, -2
154, -117, 95, 3, -3, -1
203, -82, 117, 0, -1, -1
165, -83, 83, -1, 2, 0
179, -9, -23, -1, 1, 1
155, -51, -88, 0, -2, -1
166, -79, 149, 2, -3, -1
145, -122, 45, 1, -1, -2
1833, -376, 3318, 24, 51, 25
5533, -2204, -2600, 68, 193, 64
1989, -170, -1376, -5, 62, 3
-109, 175, -1439, 9, -40, -1
1288, -589, -2876, -29, -166, 15
2287, 670, 3706, 5, -88, 39
757, 445, 715, 9, 5, 2
3426, -554, 604, 18, 167, -89
1954, 72, -1133, -20, 106, -13
-89, 29, -1071, 14, -39, -1
1268, -811, -2415, 8, -169, 23
1529, -513, 2591, 32, -123, 55
259, -209, 68, 5, 5, -3
2301, 1606, 3146, -15, 93, -48
3101, -458, -1314, -16, 152, -9
-448, -209, -1407, 37, -28, 7
906, -896, -3193, 51, -155, 18
1885, 1212, 2174, -40, -95, 62
-65, -478, -380, 6, -1, 6
3008, 132, 1940, -11, 155, -75
2532, -288, -1291, 18, 124, -19
107, 114, -708, 10, -21, 0
688, -375, -1955, 7, -125, 8
1726, -533, 1021, 31, -153, 71
341, -204, 186, 1, 7, 1
3711, -178, 911, 6, 158, -98
1765, -479, -1072, -17, 108, 10
-174, 402, -1259, 43, -51, -4
1138, 103, -2656, 25, -195, 2
1749, 1022, 3913, 63, -71, 42
90, -54, -26, 2, 3, 1
2828, -427, -106, -33, 180, -46
319, 975, -2102, -58, 50, -1
-54, 168, -881, -30, -31, -6
2212, -240, -3914, 0, -242, 4
1670, 742, 2870, -16, -10, -1
2352, 1140, 3269, 25, 68, -21
3391, -1034, -1906, 10, 190, -14
203, 2, -1353, 5, -12, 6
1024, -432, -2594, -5, -136, 6
1390, -1521, -864, 49, -161, 44
268, 392, 1786, -9, -4, -3
4613, 46, 2359, -40, 181, -82
2432, 135, -1851, 4, 108, -9
380, -347, -2074, -16, -60, 5
2766, -1245, -2574, -2, -205, 27
881, 1204, 3180, -40, 20, -12
4821, -70, 1337, -17, 182, -63
3012, -442, -1026, 10, 133, -1
-237, 119, -920, 34, -31, 4
1325, -793, -3053, -9, -174, 25
3412, 2678, 4648, -15, -88, 55
829, 809, 1261, 22, 15, -2
3309, -882, -694, -5, 189, -40
164, -596, -1763, 16, 6, -2
710, -438, -2035, 14, -145, 25
3239, 1493, 4677, 29, -74, 40
337, 755, 1586, 9, 12, 0
3397, -1423, -121, 17, 162, -47
1967, 56, -1513, -35, 106, 4
204, 304, -1152, -63, -35, -5
1511, 342, -3268, -85, -205, -12
1634, 1800, 3027, -52, 2, -2
3299, 530, 1943, -26, 149, -52
2378, -622, -601, 19, 134, -3
-141, -13, -1884, -29, -17, 4
771, -351, -2036, -5, -133, 11
2237, -76, 1588, 10, -136, 42
1160, 581, 2331, 16, 45, -24
3734, -1663, -957, 47, 188, -11
268, 372, -2565, -15, 28, -7
626, -170, -2350, -6, -131, 0
2197, -1571, -1417, 25, -214, 22
1173, 1285, 3560, 10, 26, -19
3408, -1508, -1083, 5, 173, -14
1804, 248, -257, 17, 94, -9
-69, -106, -873, -2, -23, 1
2265, -390, -3847, -36, -193, 15
3026, 945, 3799, -12, -63, 23
4697, -939, 1757, -22, 194, -55
3067, -354, -1488, 7, 128, -12
-177, 379, -1495, 20, -33, 6
1170, -582, -2910, -28, -138, -1
3828, -779, 2233, 135, -164, 69
3528, 1764, 2544, -31, 114, -80
2358, -689, -1561, -3, 146, -11
238, -58, -1716, -11, 19, -8
89, 295, -1899, -52, -95, 10
2967, -1160, 315, 23, -206, 18
1259, 1203, 4403, -12, 51, -17
3637, -886, -504, 16, 169, -16
2018, 133, -955, -2, 93, -5
122, -22, -138, 23, -16, -2
1264, -78, -3432, -53, -180, 5
3590, 534, 3653, -11, -112, 43
4662, 1074, 2836, 11, 136, -72
3348, -1539, -2477, -2, 163, -11
289, -330, -1570, -31, 8, 7
318, -219, -1421, -18, -76, -2
2308, -872, -445, 8, -199, 21
476, 830, 2857, -15, -4, -17
4179, 73, -1146, -45, 190, -37
1554, 221, -980, -18, 87, 19
160, 398, -1872, -3, -85, -16
1798, -366, -2013, -2, -179, 8
1955, 2143, 4249, 1, 3, 4
3866, -446, -388, 11, 183, -31
815, 9, -1507, -3, 37, 4
710, -23, -1763, -49, -148, 3
912, -392, -1995, -16, -149, -15
2455, 634, 3577, 2, 98, -33
2203, -617, -1282, -10, 140, -8
222, 652, -1455, -34, 54, 10
3, -534, -1995, 20, -108, 5
2183, -674, -1882, 7, -189, -12
2253, 929, 4811, 23, 76, -17
1801, -561, -1630, 8, 142, -20
329, -305, -1540, -4, 30, 10
917, 167, -1395, 7, -156, 1
1671, -257, 2878, 41, -121, 43
4711, -1068, -381, 2, 201, -61
1100, -112, -967, 8, 86, -8
-499, -48, -881, 5, -9, 6
566, 303, -2750, -59, -166, 3
3000, 421, 3556, 29, -130, 48
2649, 304, 582, -13, 118, -46
1437, -614, -558, 25, 112, -3
151, 494, -1950, -18, 12, -8
1660, -539, -3708, -10, -194, 1
2903, 2504, 6420, -7, -31, 20
