5, -44, -3, 1, 0, -1
29, 46, -5, 0, -1, 0
2, -34, 16, 1, 0, -1
12, -6, 59, 1, -1, -1
42, 59, -49, -3, 0, 0
64, 13, 31, -2, 0, -1
32, -25, -35, 2, -1, -2
659, -363, 853, 82, -6, 28
3174, -835, 2078, 102, 21, 48
1606, -968, -3128, 35, 130, 25
691, 468, 221, 32, 59, 5
1655, 432, -2229, -20, 138, -26
-722, -245, -2375, -47, -35, 0
2570, 1068, -2804, 34, -208, -53
4082, 180, 3400, 35, -135, -25
997, 374, 1338, -26, 38, 24
3640, 501, -887, -8, 154, 23
2407, 37, -644, 12, 103, -9
-1693, 1274, -4056, -46, 11, -1
766, -317, -879, -4, -89, -15
1950, 109, -1119, 80, -191, -16
525, -908, 3971, 15, -43, -11
1810, 1050, 1892, -25, 99, -1
2982, 377, -587, -2, 136, 28
1449, 721, -1610, -54, 100, -7
-147, -251, -650, -13, -22, 4
1752, 659, -3189, 3, -170, -13
3777, 870, 4581, 20, -109, -26
142, 452, 677, -30, 17, 13
4144, 469, 977, -55, 195, 4
3295, -9, -410, 23, 124, 21
-707, 1239, -3488, -26, -2, -11
1349, -20, -2271, 7, -126, -16
4124, 379, -945, 23, -206, -24
414, 430, 3380, -27, -8, 5
2614, -103, 1514, -30, 127, -7
3314, 561, -325, -5, 128, 26
1251, -57, -1791, 0, 98, -5
-157, -81, -846, -11, -25, 4
1743, 324, -1941, 2, -125, -15
3271, -108, -133, 59, -192, -1
-314, -814, 2205, -8, -8, 16
3147, 880, 1188, -72, 146, -12
2694, 697, -1084, 2, 111, 18
-737, 211, -2636, -5, 59, -17
191, -154, -1165, -26, -66, 10
1573, 160, -2992, 2, -153, -1
3932, 642, 3587, 70, -117, -16
390, -56, 1006, -9, 18, 10
2891, 513, 1187, -50, 130, 16
2936, 332, -1174, -2, 125, 22
-135, 426, -2373, -3, 55, -19
-71, -293, -1215, -22, -32, 3
1871, 127, -2050, 2, -146, -11
3825, -283, 1325, 18, -146, -36
-933, -1009, 1353, 5, 1, 5
2290, 219, 898, -52, 146, 12
3378, 542, -1098, -2, 122, 26
921, 231, -1125, -5, 75, -9
-249, -193, -1170, -35, -26, 1
2027, -274, -1401, 22, -159, -2
2190, -36, -681, 13, -158, -21
-398, 195, 2723, -11, -26, -9
1742, 1327, 2011, -17, 91, -9
3976, 260, -590, -32, 152, 31
1903, 164, -994, 25, 92, 5
-603, 12, -1072, 23, -14, -5
830, 431, -1499, 7, -96, -21
2214, 334, -1587, 19, -181, -28
1289, -47, 2770, 8, -70, -5
615, 421, 1046, 5, 29, 10
3762, 7, 317, -27, 163, 32
3461, 387, -1258, -12, 123, 9
-1021, 382, -2942, 11, 12, -10
366, -94, -1408, -20, -73, 0
1881, 34, -1688, 1, -155, -10
2753, -496, 2249, 9, -109, -17
199, -112, 1580, 8, 20, 13
3749, -100, 777, -51, 166, 17
3731, 236, -1302, 4, 135, 21
112, -340, -2828, 2, 53, 2
-29, 29, -854, -24, -32, -5
1755, 20, -2113, 6, -156, -17
3141, -427, 63, 24, -160, -11
-235, -383, 1757, -3, -2, 1
1927, 861, 1623, -54, 135, -16
3643, -18, -13, 7, 146, 42
1786, 113, -994, 41, 125, 2
-409, 362, -1802, -26, -26, -14
1542, 80, -1594, -13, -128, -15
2168, 482, -606, -6, -174, -28
258, 937, 4007, -15, -28, -16
1948, 38, 1699, 9, 99, 0
3793, 965, -387, -53, 147, 16
2044, 186, -766, -9, 89, -2
-1154, 127, -2255, -17, 4, 2
863, -206, -1440, 14, -106, 4
2306, 82, -765, 8, -162, -16
820, 157, 3329, -2, -47, -15
1169, 634, 1306, -35, 74, 8
3633, 491, 363, -25, 145, 22
3353, 50, -1181, -25, 101, 5
-1387, 180, -2813, -10, 3, 3
1575, 50, -1914, -1, -119, -13
1261, -3, -1704, 18, -167, -12
895, 270, 2311, -6, -77, -5
426, 339, 1049, -12, 25, 3
2996, 275, 476, -6, 134, 30
3111, 142, -1041, 25, 128, 9
-850, 223, -2375, -2, 16, 0
202, -230, -1225, 3, -80, 0
1470, 137, -1574, -13, -170, 29
1739, 253, 3215, 8, -71, -16
1078, 1118, 1139, -8, 42, -11
3698, 878, -102, -33, 162, 26
2839, 779, -463, -30, 116, -9
-1361, -18, -1888, 7, -26, 5
855, 390, -1769, 6, -102, 0
1934, 661, -539, 0, -168, -23
196, -736, 2822, -7, -25, -12
1585, 114, 1753, -27, 93, 7
4103, 101, -124, 4, 155, 60
3079, 438, -1133, 14, 89, 2
