823, -137, 105, 0, 0, 0
815, -149, 96, -1, -1, -1
827, -118, 87, -1, 0, 0
818, -167, 111, 0, -1, -1
818, -159, 80, -1, -1, 0
828, -148, 80, -1, -1, -1
816, -161, 71, -1, 0, 0
833, -138, 65, 0, -1, -1
831, -168, 76, -1, 0, -1
851, -117, 142, 1, -1, 0
1355, -340, -274, 110, 2, 28
-715, -837, -618, 9, 5, -38
2122, 615, 1886, -9, 76, 2
2624, 76, -452, -10, 162, 19
673, 1033, -2123, -22, 40, 5
410, 277, -1203, -2, -34, -5
517, 164, -1098, 2, -80, -3
1087, 642, -1848, -24, -122, -19
1667, -167, 2551, -7, -46, -8
1282, 15, 1200, -1, 36, 4
1749, -298, 462, 22, 109, 13
2461, 363, -1107, -18, 139, 35
291, 474, -1865, 17, -16, -14
468, -18, -1973, 38, -127, -8
1594, 882, -1700, -18, -145, -25
1066, -764, 2525, -18, 0, -8
1183, -51, 993, 2, 17, -1
3003, 39, 494, -7, 163, 22
1969, 259, -1071, -8, 101, 36
695, 564, -1210, 20, -17, -11
317, 47, -1533, 26, -113, -19
2079, 804, -2117, 1, -164, -24
1474, -654, 2712, -15, -9, -10
1296, -134, 1439, 3, 29, 8
3422, 9, -117, -19, 164, 42
1838, 793, -1501, -34, 101, 27
861, 592, -1314, -9, -30, -9
907, 746, -1523, 5, -131, -30
1716, -79, -549, 23, -134, -38
452, -1067, 1464, 0, -13, -5
1511, -55, 1406, -10, 87, 10
2319, 71, -447, -17, 119, 38
762, 533, -1552, -3, 39, 22
131, 244, -1054, -2, -3, -5
554, 650, -2600, -9, -125, -33
3127, -2, 306, 20, -166, -18
938, -804, 1375, 1, 0, 3
2305, 13, 1684, 0, 103, 6
3762, 314, -782, 6, 169, 36
890, 773, -2599, -43, 46, 11
648, 260, -1488, -25, -30, -6
1957, 674, -3747, -7, -225, -31
2788, -322, 3684, -43, -55, -19
1523, -402, 1457, 17, 32, 7
3935, -54, -1277, -1, 188, 70
1272, 644, -1684, 16, 45, 22
678, 623, -1685, -10, -53, -11
2043, 676, -3923, -1, -234, -43
1822, -743, 3369, -29, -7, -2
2773, -217, 3167, 19, 87, 4
3554, -288, -1214, 28, 151, 56
14, 640, -2420, -61, 41, 8
379, 600, -1728, 17, -88, -34
2679, 341, -2074, 5, -216, -50
1061, -1803, 2950, -31, 19, -1
1233, -569, 1684, 12, 42, 13
3157, -297, -632, 21, 142, 56
1199, 838, -2055, -42, 50, 10
823, 133, -1079, 18, -19, -1
1558, 532, -3301, 12, -208, -54
2601, -651, 3058, -14, -52, -6
1138, -232, 507, 2, 10, 7
3617, -425, -551, 7, 154, 39
1454, 353, -1602, 2, 81, 21
517, 113, -1263, 26, -15, -4
545, 162, -2998, 9, -143, -26
3107, 4, 458, -22, -159, -25
26, -235, 700, -10, 11, 5
3015, -187, 1140, -29, 164, 18
2995, 370, -1337, 7, 143, 46
142, 696, -2203, 2, -6, -5
456, 266, -2295, 6, -97, -24
2414, 1256, -2918, -11, -195, -42
1146, -1186, 2845, -1, 8, 0
