-108, 14, -7, -1, -1, -1
-116, 26, -20, -1, 0, 0
-96, 15, 9, 1, 0, 0
-114, 17, 1, 1, -1, -1
-114, 11, -21, 0, -1, -1
-99, -17, -32, 0, -1, 0
-102, 21, -33, -1, 0, 0
-73, -28, 9, -1, 0, -1
-100, -9, 22, 0, 0, 0
-145, -14, 43, -3, -1, -1
-111, 20, -14, 1, 0, -1
-74, 80, 23, 0, -1, -1
-115, -48, 22, 0, -2, -2
1312, -391, 988, -54, 28, 51
3784, -310, -1090, 59, 61, 249
-388, -1741, 527, -15, -5, -4
-304, 376, 74, -12, -16, 6
-2855, 1382, -1953, 78, -124, -193
3846, 314, -328, -102, 58, 112
-4573, 759, 2556, -224, -62, 7
127, -755, -72, 8, 0, 0
-798, -321, 985, 82, 13, 6
-314, -1093, -227, 89, -84, -136
3108, 810, -897, -108, 62, 95
-4298, 789, 3225, -132, -61, 21
98, -357, -97, -10, -2, 8
-2084, -376, 1533, 183, 31, 10
1490, -606, -1133, 62, -128, -163
4447, 7, -875, -118, 65, 116
-2785, 684, 5935, -84, -80, 38
146, -538, 216, 1, -2, 6
-1016, -45, 1177, 92, 33, -22
-1420, -1417, -813, 142, -76, -128
2462, 552, -727, -103, 30, 74
-4140, -826, 546, -121, -36, 28
-95, -279, 215, 6, -4, 17
-194, -123, 552, 18, 3, -5
-4197, 364, 571, 90, -43, -90
1280, 652, -1625, -10, 53, 54
-1511, -194, 85, -235, -58, 96
-293, -635, 398, -10, -12, 27
-390, -246, 565, 48, 9, -16
-2602, -178, -459, 55, -19, -23
3921, 2290, -2837, -4, 2, 6
-219, 76, -420, -155, -14, 91
-1523, -94, 2990, 12, 1, 14
-275, -213, 309, 3, -3, -2
-2738, 725, 277, 131, -5, -4
7403, 2093, -3676, 25, -51, -73
1077, 72, 23, -66, 28, 103
-3529, 209, 3948, -68, -30, 79
462, -527, 725, -9, 4, 6
-2651, 776, 943, 167, -36, 1
444, -981, -1689, 86, -128, -155
3647, 1149, -1236, -132, 81, 87
-3625, 287, 4520, -64, -55, 39
14, -529, 508, -1, 2, -1
-1436, 305, 991, 114, -14, -11
1932, -1710, -1031, 89, -140, -161
3071, 182, -1722, -60, 55, 92
-3379, 3031, 5652, -224, -36, 55
251, -161, 485, -12, 15, -3
