-118, 36, -85, -2, -1, -1
-103, 29, -1, -2, 0, 0
-120, -11, -5, 0, -1, -1
-104, 38, -55, -2, 0, 0
-88, 36, -37, -1, 0, 0
-120, 4, -5, 1, 0, 0
-115, 16, -33, 0, 0, -1
-143, 19, -13, 0, -1, -1
-116, 38, -35, -2, -1, -1
-11, 47, 4, 10, 4, 3
318, -342, 664, 25, 25, 43
1592, -397, -800, 30, 95, 103
1470, -294, -851, 11, 36, 68
-1317, -494, 2237, 9, 8, 27
1498, -478, 1342, 47, 28, -16
2666, 1159, -1283, 10, 50, -72
-1367, -2207, -641, 12, 2, -8
523, -360, -744, -22, -27, 60
1571, -153, 44, -41, -40, 59
803, -311, 868, -50, -29, -23
-253, -295, 2021, -31, -28, -33
-654, 51, 524, 5, 13, 10
-459, -2349, 1841, 62, 32, 13
1947, -262, -967, 70, 54, -60
-643, -1220, -902, -12, 13, -31
222, -817, -644, -5, -20, 57
1468, -244, -527, -47, -23, 61
-107, -466, 766, -27, -25, -1
1043, -683, 1742, -71, -51, -57
-2054, -526, 3730, 59, 19, 39
859, -1567, 1279, 52, 44, -5
1989, 651, -1042, 35, 54, -76
-540, -1063, -1269, 9, -11, 1
401, -256, -351, 1, -21, 44
-156, -31, 395, -28, -29, 43
992, -479, -54, -40, -25, 2
-596, -62, 1354, -48, -49, -54
-644, 25, 1290, 2, 15, 13
-1095, -1088, 3471, 53, 22, 26
4155, 337, -1316, 64, 52, -64
592, -33, -1348, 14, 27, -50
-608, -410, -407, -8, -12, 28
559, -376, -737, -33, -24, 53
1288, 54, -211, -39, -34, 37
220, -921, -281, -35, -30, -28
-2333, 574, 1951, -7, -7, 1
-1270, 125, 1792, 20, 19, 19
788, -1652, 1293, 50, 31, -12
2161, 761, -1864, 43, 57, -64
-1012, -2647, -1077, 13, -2, 3
-29, -929, -563, 6, -28, 61
1362, 163, -635, -44, -28, 48
1241, -18, 883, -8, -29, 34
-1214, 93, 1752, -79, -22, -39
-98, 165, 450, -3, 6, 7
-1442, -1410, 2336, 57, 20, 22
3345, -337, -516, 63, 29, -68
1323, 297, -1209, -20, 36, -52
-795, -1043, -313, -5, -8, 21
121, -191, -731, -18, -28, 45
1015, -236, 181, -13, -27, 38
942, 465, -775, -105, -9, -5
-1069, -19, 2049, -34, -20, -25
-75, -192, -102, 7, 5, 4
-340, -1878, 835, 63, 25, 4
3223, 1197, -768, 45, 53, -81
-805, -1470, -1486, 11, 12, -33
-251, -554, -152, -7, -5, 27
217, -340, -755, -10, -26, 48
1045, -420, -749, -47, -24, 32
215, -475, 801, -74, -18, -14
-792, 61, 975, 3, -7, -2
-954, -1437, 1302, 68, 9, -4
2791, 371, -535, 53, 42, -77
-1316, -3040, -575, -2, 8, 7
-387, -346, -481, -4, -17, 20
494, -132, -651, -10, -18, 59
842, -395, -169, -16, -11, 50
721, -640, 802, -80, -13, -34
-696, -150, 651, 23, -6, 8
-3064, -1944, 4153, 94, 16, 21
3615, 45, -995, 76, 40, -79
-607, -1081, -1769, 7, 14, -50
-420, -402, -418, -3, -11, 20
229, -6, -484, -42, -11, 46
1404, -309, 111, -17, -29, 51
145, 279, -206, -122, -13, -56
-1223, 211, 1199, 10, -3, 2
-505, -141, 1419, 17, 12, -3
1248, -1052, 617, 82, 55, -44
2579, 1610, -1692, -33, 54, -43
-1052, -2205, -624, 4, -5, 12
-307, -471, -300, -5, -12, 27
828, 51, -459, -30, -30, 49
243, -379, 490, 3, -30, 35
590, -602, 126, -73, -18, -27
-110, -247, -390, 7, 9, 2
-1104, -177, 1530, 29, 6, 6
1038, -1456, 1029, 46, 44, -20
1575, 156, -501, 55, 49, -42
-1007, -1391, -1406, -21, 30, -35
-289, 64, -225, 6, -21, 8
200, -226, -665, -10, -21, 52
1093, -108, -274, -24, -25, 33
-318, -529, 1630, -41, -8, -26
-559, 17, 996, 3, -4, 1
-1459, -261, 1814, 37, 2, 3
1102, -830, 791, 58, 30, -24
1696, 204, -800, 23, 52, -60
-1398, -1286, -966, -8, 1, -25
-952, -962, 9, -2, -14, 24
1176, 227, -702, -43, -12, 52
481, -1, 632, -25, -31, 34
-1210, 270, 2389, -56, -21, -20
75, 120, -50, -3, 1, 2
-737, -521, 1921, 35, 17, -11
1043, -1071, -495, 69, 49, -47
1532, 1039, -1193, -8, 29, -40
-487, -147, -183, -13, -10, 15
