-111, 26, 7, -1, 0, -1
-84, 63, -54, 0, -1, -1
-131, -12, 35, 2, 0, 0
-122, 38, 25, 0, -1, 0
-78, 41, -23, -2, 0, 0
-86, 15, -3, -2, 0, 0
-124, 44, -26, -1, -1, -1
-120, 38, 3, -1, 0, 0
70, -84, 355, 19, 1, 1
1270, -347, 1111, 18, 98, 25
2629, -555, -840, 20, 160, 39
2334, 435, -1580, -42, 87, -4
-809, 33, 383, -21, 18, -2
90, -579, -2303, 21, -121, 2
1757, 22, -871, 94, -168, 49
161, 599, 1710, -5, 27, -11
2437, 1204, 953, -55, 143, -19
1775, 383, -960, -18, 108, -9
-831, -185, -340, -23, 55, -38
-557, 130, 216, 8, -16, 5
235, -54, -2230, 37, -104, 15
1396, -221, -1314, 65, -168, 9
-485, 1020, 1822, -9, -24, 3
-149, -92, -57, 0, 12, -2
3269, 480, 279, -20, 193, -18
1955, 597, -1147, -21, 94, -13
-3330, -517, -1178, -13, 1, -5
-147, -24, 313, 3, -5, -3
382, -758, -2434, 69, -122, 12
813, -91, -1987, 95, -144, 47
2592, 1280, 2738, 72, -32, 22
-251, -285, -864, -6, 10, -5
3239, 1245, -164, -90, 178, -14
2858, 289, -1787, -23, 128, -9
-1534, -645, -867, -3, -8, -9
-483, -723, -537, 48, -72, 9
503, -1035, -2648, 100, -148, 44
2733, 2607, 1267, 7, -47, 51
-190, -162, -117, 8, 12, -6
2659, 805, 605, -43, 119, -59
2412, 1088, -1608, -49, 131, -7
-1406, -441, -1440, 11, 16, -16
-473, -319, 664, 23, -21, 5
51, -421, -2500, 59, -117, 33
2096, 257, -715, 4, -110, 46
148, -101, 1351, -6, 10, -9
-275, -253, -58, 1, 5, 2
3230, 1689, 573, -86, 163, -21
3034, 392, -1974, -38, 126, -6
-786, -152, -989, 14, -23, -18
-184, -132, 235, -5, 5, 4
-938, -708, -3075, 76, -167, 32
1678, 937, -1508, 40, -116, 32
-527, 469, 1819, -24, 18, -3
188, 24, 348, -6, 30, -4
2557, 129, -437, -20, 133, -1
2178, 237, -926, -27, 117, -6
-581, -219, -816, -2, -12, -11
-968, -196, 181, 1, -20, 2
811, -832, -3502, 81, -118, 19
-119, -522, -1295, 47, -150, 35
-471, -650, 943, -5, 12, -11
1779, 982, 909, -82, 137, -11
2784, 517, -1815, -23, 106, -13
-4070, -397, -1581, 3, -18, -22
-716, 56, 495, 12, -21, 7
-819, -439, -1247, 54, -111, 17
1507, 360, -1605, 58, -141, 28
-251, 362, 1825, -38, 4, 6
-259, 213, 8, -13, 36, -7
3229, 1779, -331, -48, 132, -6
1049, 75, -735, -6, 74, -21
-4947, -180, -473, 20, -15, -10
-1426, -192, 266, 10, -17, 3
207, -1046, -2324, 83, -131, 13
1691, 72, -1890, 48, -118, 32
-299, 250, 1808, -6, -15, -4
261, 269, 64, -65, 68, -13
3092, 713, 336, -23, 174, -17
1156, 337, -1653, -51, 78, 2
-862, -234, -678, 2, -11, -9
-1264, -434, -410, 8, -19, 10
52, -522, -2230, 81, -154, 26
1574, 32, -690, 63, -145, 35
226, 321, 1732, -9, -2, -8
99, 559, 59, -52, 75, -14
2650, 803, 307, -29, 144, -9
1299, 1030, -571, -69, 75, -4
